Numero du dept : 29
1 Bièvre 43024 Polygon
2 Bourgoin-Jallieu 50320 Polygon
3 Chartreuse-Guiers 35299 Polygon
4 Charvieu-Chavagneux 50085 Polygon
5 Echirolles 46456 Polygon
6 Fontaine-Seyssinet 37386 Polygon
7 Fontaine-Vercors 38210 Polygon
8 Le Grand-Lemps 34596 Polygon
9 Grenoble-1 46843 Polygon
10 Grenoble-2 44021 Polygon
11 Grenoble-3 46817 Polygon
12 Grenoble-4 46807 Polygon
13 Le Haut-Grésivaudan 42030 Polygon
14 L'Isle-d'Abeau 49566 Polygon
15 Matheysine-Trièves 29277 Polygon
16 Meylan 43912 Polygon
17 Morestel 36615 Polygon
18 Le Moyen Grésivaudan 43923 Polygon
19 Oisans-Romanche 33065 Polygon
20 Le Pont-de-Claix 44436 Polygon
21 Roussillon 45475 Polygon
22 Saint-Martin-d'Hères 47142 Polygon
23 Le Sud Grésivaudan 40823 Polygon
24 La Tour-du-Pin 34770 Polygon
25 Tullins 37968 Polygon
26 La Verpillière 43419 Polygon
27 Vienne-1 39712 Polygon
28 Vienne-2 47469 Polygon
29 Voiron 45527 Polygon

5.281891 45.506725 5.286948 45.508669 2 14
5.286948 45.508669 5.283466 45.512777 2 14
5.283466 45.512777 5.283747 45.515982 2 14
5.283747 45.515982 5.281278 45.518085 2 14
5.281278 45.518085 5.283462 45.521011 2 14
5.283462 45.521011 5.291078 45.524369 2 14
5.291078 45.524369 5.286523 45.527496 2 14
5.286523 45.527496 5.282867 45.526893 2 14
5.282867 45.526893 5.273663 45.531325 2 14
5.273663 45.531325 5.27041 45.5349 2 14
5.27041 45.5349 5.276495 45.53937 2 14
5.276495 45.53937 5.275556 45.541975 2 14
5.275556 45.541975 5.270061 45.545521 2 14
5.270061 45.545521 5.269995 45.550195 2 14
5.269995 45.550195 5.274391 45.558103 2 14
5.274391 45.558103 5.274758 45.562428 2 14
5.274758 45.562428 5.280887 45.569085 2 14
5.280887 45.569085 5.279805 45.572597 2 14
5.279805 45.572597 5.274288 45.579449 2 14
5.274288 45.579449 5.270013 45.582909 2 14
5.270013 45.582909 5.262121 45.583871 2 14
5.262121 45.583871 5.254188 45.577782 2 14
5.254188 45.577782 5.252038 45.573802 2 14
5.252038 45.573802 5.245533 45.574838 2 14
5.245533 45.574838 5.235446 45.57377 2 14
5.235446 45.57377 5.23159 45.575357 2 14
5.23159 45.575357 5.230924 45.57815 2 14
5.230924 45.57815 5.233463 45.582722 2 14
5.233463 45.582722 5.238429 45.588209 2 14
5.238429 45.588209 5.239645 45.591681 2 14
5.239645 45.591681 5.231702 45.597916 2 14
5.231702 45.597916 5.231089 45.600304 2 14
5.231089 45.600304 5.225878 45.605088 2 14
5.225878 45.605088 5.230739 45.610189 2 14
5.230739 45.610189 5.243796 45.607131 2 14
5.243796 45.607131 5.255597 45.617823 2 14
5.255597 45.617823 5.259025 45.619371 2 14
5.259025 45.619371 5.257261 45.624355 2 14
5.257261 45.624355 5.253812 45.628269 2 14
5.253812 45.628269 5.223801 45.631791 2 14
5.223801 45.631791 5.209285 45.632049 2 14
5.209285 45.632049 5.210787 45.638679 2 26
5.210787 45.638679 5.206758 45.649304 2 26
5.206758 45.649304 5.210403 45.655534 2 26
5.210403 45.655534 5.219373 45.660928 2 26
5.219373 45.660928 5.219373 45.660928 2 0
5.566806 45.581186 5.568332 45.582919 3 17
5.568332 45.582919 5.565026 45.586998 3 17
5.565026 45.586998 5.567764 45.591768 3 17
5.567764 45.591768 5.574162 45.593081 3 17
5.574162 45.593081 5.579087 45.592588 3 17
5.579087 45.592588 5.576623 45.598823 3 17
5.576623 45.598823 5.57764 45.602325 3 17
5.57764 45.602325 5.583765 45.61233 3 17
5.583765 45.61233 5.590524 45.609395 3 17
5.590524 45.609395 5.599587 45.615121 3 17
5.599587 45.615121 5.607753 45.61684 3 17
5.607753 45.61684 5.610858 45.618815 3 17
5.610858 45.618815 5.612109 45.623961 3 17
5.612109 45.623961 5.615124 45.625336 3 17
5.615124 45.625336 5.622919 45.613484 3 0
5.622919 45.613484 5.621827 45.612051 3 0
5.621827 45.612051 5.623316 45.603114 3 0
5.623316 45.603114 5.631263 45.598063 3 0
5.631263 45.598063 5.633769 45.594681 3 0
5.633769 45.594681 5.637065 45.593357 3 0
5.637065 45.593357 5.640438 45.586083 3 0
5.640438 45.586083 5.644621 45.585222 3 0
5.644621 45.585222 5.646708 45.577192 3 0
5.646708 45.577192 5.649869 45.576194 3 0
5.649869 45.576194 5.654193 45.570313 3 0
5.654193 45.570313 5.658392 45.569112 3 0
5.658392 45.569112 5.662851 45.565101 3 0
5.662851 45.565101 5.667786 45.564943 3 0
