Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.200171 45.941121 0.204867 45.951849 5 8
0.204867 45.951849 0.210791 45.961938 5 8
0.210791 45.961938 0.218426 45.963956 5 8
0.218426 45.963956 0.221545 45.96082 5 8
0.221545 45.96082 0.227041 45.957801 5 8
0.227041 45.957801 0.236228 45.954925 5 8
0.236228 45.954925 0.24147 45.95451 5 8
0.24147 45.95451 0.249953 45.95058 5 8
0.249953 45.95058 0.25587 45.949203 5 8
0.25587 45.949203 0.256447 45.944135 5 8
0.256447 45.944135 0.267667 45.935814 5 8
0.267667 45.935814 0.269146 45.930357 5 8
0.269146 45.930357 0.27298 45.924123 5 8
0.27298 45.924123 0.275506 45.917665 5 8
0.275506 45.917665 0.279054 45.915098 5 8
0.279054 45.915098 0.290402 45.912299 5 8
0.290402 45.912299 0.298876 45.917842 5 8
0.298876 45.917842 0.300825 45.922174 5 8
0.300825 45.922174 0.305915 45.925386 5 8
0.305915 45.925386 0.313476 45.924102 5 8
0.313476 45.924102 0.321809 45.926948 5 8
0.321809 45.926948 0.329203 45.930577 5 8
0.329203 45.930577 0.336658 45.936637 5 8
0.336658 45.936637 0.333251 45.926856 5 6
0.333251 45.926856 0.345892 45.926311 5 6
0.345892 45.926311 0.34311 45.918897 5 6
0.34311 45.918897 0.346632 45.917557 5 6
0.346632 45.917557 0.352961 45.919555 5 6
0.352961 45.919555 0.360246 45.9186 5 6
0.360246 45.9186 0.371263 45.915075 5 6
0.371263 45.915075 0.37913 45.914769 5 6
0.37913 45.914769 0.380383 45.913035 5 6
0.380383 45.913035 0.388808 45.912628 5 6
0.388808 45.912628 0.397631 45.916969 5 6
0.397631 45.916969 0.403444 45.915645 5 6
0.403444 45.915645 0.40828 45.912626 5 6
0.40828 45.912626 0.41468 45.911136 5 6
0.41468 45.911136 0.417502 45.907546 5 6
0.417502 45.907546 0.430807 45.906488 5 6
0.430807 45.906488 0.434304 45.907762 5 6
0.434304 45.907762 0.431404 45.896376 5 6
0.431404 45.896376 0.431591 45.893695 5 6
0.431591 45.893695 0.435345 45.890768 5 6
0.435345 45.890768 0.435581 45.875783 5 6
0.435581 45.875783 0.434386 45.873144 5 6
0.434386 45.873144 0.439286 45.872088 5 6
0.439286 45.872088 0.439468 45.859469 5 6
0.439468 45.859469 0.431412 45.858296 5 6
0.431412 45.858296 0.422732 45.855405 5 6
0.422732 45.855405 0.423133 45.852849 5 6
0.423133 45.852849 0.405998 45.850649 5 6
0.405998 45.850649 0.40256 45.851516 5 6
0.40256 45.851516 0.392878 45.850854 5 6
0.392878 45.850854 0.383534 45.853107 5 6
0.383534 45.853107 0.370127 45.857865 5 6
0.370127 45.857865 0.362854 45.862114 5 6
0.362854 45.862114 0.352276 45.864919 5 6
0.352276 45.864919 0.349573 45.863095 5 6
0.349573 45.863095 0.340006 45.862071 5 6
0.340006 45.862071 0.332053 45.866334 5 6
0.332053 45.866334 0.323592 45.867769 5 6
